"crym","admd_c","ana_mgpo_nm","ana_ccd_nm","admd_nm","dayofweek","sl_am","sl_ct"
202306,1117059000,"서울특별시","용산구","용문동","Sun",2266161,83
202306,1117059000,"서울특별시","용산구","용문동","Thu",1578572,70
202306,1117059000,"서울특별시","용산구","용문동","Tue",1562648,66
202306,1117059000,"서울특별시","용산구","용문동","Wed",1340071,55
202306,1117062500,"서울특별시","용산구","한강로동","Fri",7602727,263
202306,1117062500,"서울특별시","용산구","한강로동","Mon",7057704,265
202306,1117062500,"서울특별시","용산구","한강로동","Sat",8542414,306
202306,1117062500,"서울특별시","용산구","한강로동","Sun",9526681,342
202306,1117062500,"서울특별시","용산구","한강로동","Thu",7861484,283
202306,1117062500,"서울특별시","용산구","한강로동","Tue",7496726,279
202306,1117062500,"서울특별시","용산구","한강로동","Wed",7930619,277
202306,1117063000,"서울특별시","용산구","이촌1동","Fri",7910473,276
202306,1117063000,"서울특별시","용산구","이촌1동","Mon",5738785,211
202306,1117063000,"서울특별시","용산구","이촌1동","Sat",9267305,306
202306,1117063000,"서울특별시","용산구","이촌1동","Sun",10165674,325
202306,1117063000,"서울특별시","용산구","이촌1동","Thu",8707191,313
202306,1117063000,"서울특별시","용산구","이촌1동","Tue",6908975,245
202306,1117063000,"서울특별시","용산구","이촌1동","Wed",7982304,290
202306,1117064000,"서울특별시","용산구","이촌2동","Fri",1584000,54
202306,1117064000,"서울특별시","용산구","이촌2동","Mon",1044090,45
202306,1117064000,"서울특별시","용산구","이촌2동","Sat",2095816,78
202306,1117064000,"서울특별시","용산구","이촌2동","Sun",2089338,76
202306,1117064000,"서울특별시","용산구","이촌2동","Thu",1324345,47
202306,1117064000,"서울특별시","용산구","이촌2동","Tue",1457910,52
202306,1117064000,"서울특별시","용산구","이촌2동","Wed",1212543,46
202306,1117065000,"서울특별시","용산구","이태원1동","Fri",875809,37
202306,1117065000,"서울특별시","용산구","이태원1동","Mon",575750,23
202306,1117065000,"서울특별시","용산구","이태원1동","Sat",1225068,44
202306,1117065000,"서울특별시","용산구","이태원1동","Sun",1338392,53
202306,1117065000,"서울특별시","용산구","이태원1동","Thu",1012556,37
202306,1117065000,"서울특별시","용산구","이태원1동","Tue",943420,38
202306,1117065000,"서울특별시","용산구","이태원1동","Wed",697400,30
202306,1117066000,"서울특별시","용산구","이태원2동","Fri",1816464,75
202306,1117066000,"서울특별시","용산구","이태원2동","Mon",1006260,36
202306,1117066000,"서울특별시","용산구","이태원2동","Sat",2116032,76
202306,1117066000,"서울특별시","용산구","이태원2동","Sun",2425134,93
202306,1117066000,"서울특별시","용산구","이태원2동","Thu",1376414,56
202306,1117066000,"서울특별시","용산구","이태원2동","Tue",1675506,65
202306,1117066000,"서울특별시","용산구","이태원2동","Wed",1697585,71
202306,1117068500,"서울특별시","용산구","한남동","Fri",5544127,181
202306,1117068500,"서울특별시","용산구","한남동","Mon",3602340,132
202306,1117068500,"서울특별시","용산구","한남동","Sat",5486974,181
202306,1117068500,"서울특별시","용산구","한남동","Sun",6113080,211
202306,1117068500,"서울특별시","용산구","한남동","Thu",5127777,192
202306,1117068500,"서울특별시","용산구","한남동","Tue",4753897,172
202306,1117068500,"서울특별시","용산구","한남동","Wed",5173522,189
202306,1117069000,"서울특별시","용산구","서빙고동","Fri",2917336,102
202306,1117069000,"서울특별시","용산구","서빙고동","Mon",2226374,75
202306,1117069000,"서울특별시","용산구","서빙고동","Sat",3501621,112
202306,1117069000,"서울특별시","용산구","서빙고동","Sun",3635922,126
202306,1117069000,"서울특별시","용산구","서빙고동","Thu",2829089,107
202306,1117069000,"서울특별시","용산구","서빙고동","Tue",2312250,76
202306,1117069000,"서울특별시","용산구","서빙고동","Wed",2582200,90
202306,1117070000,"서울특별시","용산구","보광동","Fri",2190570,74
202306,1117070000,"서울특별시","용산구","보광동","Mon",2089055,74
202306,1117070000,"서울특별시","용산구","보광동","Sat",2737140,92
202306,1117070000,"서울특별시","용산구","보광동","Sun",2613949,97
202306,1117070000,"서울특별시","용산구","보광동","Thu",1855346,66
202306,1117070000,"서울특별시","용산구","보광동","Tue",2295688,69
202306,1117070000,"서울특별시","용산구","보광동","Wed",2568404,87
202306,1120052000,"서울특별시","성동구","왕십리2동","Fri",2544928,104
202306,1120052000,"서울특별시","성동구","왕십리2동","Mon",2373832,90
202306,1120052000,"서울특별시","성동구","왕십리2동","Sat",4091151,146
202306,1120052000,"서울특별시","성동구","왕십리2동","Sun",3958216,141
202306,1120052000,"서울특별시","성동구","왕십리2동","Thu",2447142,99
202306,1120052000,"서울특별시","성동구","왕십리2동","Tue",2602261,101
202306,1120052000,"서울특별시","성동구","왕십리2동","Wed",2689075,111
202306,1120053500,"서울특별시","성동구","왕십리도선동","Fri",5506210,204
202306,1120053500,"서울특별시","성동구","왕십리도선동","Mon",5195755,202
202306,1120053500,"서울특별시","성동구","왕십리도선동","Sat",8300404,310
202306,1120053500,"서울특별시","성동구","왕십리도선동","Sun",6738831,265
